Compound_name,Column,Organic_modifier,pH,Buffer,SMILES,RT
17beta estradiol,Biphenyl,Acetonitrile,2.7,Formic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,13.29
17beta estradiol,Biphenyl,Methanol,2.7,Formic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,18.530833333333334
17beta estradiol,C18-Mixed,Acetonitrile,2.7,Acetic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.55
17beta estradiol,C18-Mixed,Acetonitrile,2.7,Formic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.68
17beta estradiol,C18-Mixed,Acetonitrile,2.7,TFA,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.676
17beta estradiol,C18-Mixed,Acetonitrile,5,Acetate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.53
17beta estradiol,C18-Mixed,Acetonitrile,5,Formiate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.533999999999999
17beta estradiol,C18-Mixed,Acetonitrile,8,Bicarbonate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.608
17beta estradiol,C18-Mixed,Acetonitrile,8,Formiate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.614
17beta estradiol,C18-Mixed,Methanol,2.7,Acetic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,15.85
17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,16.142
17beta estradiol,C18-Mixed,Methanol,2.7,TFA,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.608
17beta estradiol,C18-Mixed,Methanol,5,Acetate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,15.759
17beta estradiol,C18-Mixed,Methanol,5,Formiate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,15.786
17beta estradiol,C18-Mixed,Methanol,8,Bicarbonate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,15.69
17beta estradiol,C18-Mixed,Methanol,8,Formiate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,15.736
17beta estradiol,C18-Mixed,Methanol,10,Ammonia,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,15.477500000000001
17beta estradiol,C18-RP,Acetonitrile,2,TFA,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,10.858571428571429
17beta estradiol,C18-RP,Acetonitrile,2.7,Acetic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,10.838750000000001
17beta estradiol,C18-RP,Acetonitrile,2.7,Formic acid,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,10.807500000000001
17beta estradiol,C18-RP,Acetonitrile,5,Formiate,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,11.225000000000001
