File_name,Compound_name,Column,Organic_modifier,pH,Buffer,Peak_Area_IC,slope,S/N,conc_M,ret_time,SMILES
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,12749018175.385942,301706783488.2687,1193,0.043221884503239924,15.16,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,30583574638.765514,301706783488.2687,3054,0.08644376900647985,15.16,CSc1nc2ccccc2s1
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,153245736.67012542,80258775229.0533,5,0.0021839516388963078,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,323347028.0953799,80258775229.0533,9,0.0043679032777926155,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,654753724.011492,80258775229.0533,18,0.008735806555585231,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,1831777876.115574,80258775229.0533,65,0.021839516388963077,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,3453961919.056771,80258775229.0533,123,0.043679032777926154,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,1267811480.6423275,2108546030807.1135,58,6.297484274353152e-4,5.12,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,6515247198.139066,2108546030807.1135,413,0.003148742137176576,5.1,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,13213923513.552248,2108546030807.1135,866,0.006297484274353152,5.1,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,24759555127.084507,2108546030807.1135,1731,0.012594968548706304,5.09,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,1345379542.2589796,2178344116822.478,27,6.297484274353152e-4,5.36,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,6311292145.50326,2178344116822.478,170,0.003148742137176576,5.31,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,14176615132.017199,2178344116822.478,377,0.006297484274353152,5.27,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,27176087613.49242,2178344116822.478,768,0.012594968548706304,5.24,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,61418637304.971794,2178344116822.478,1703,0.03148742137176576,5.2,c1cc(ccc1Cl)N
200420,5-Methyl-1H-benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,2544185294.8146152,3636373452689.0327,331,5.764535775998461e-4,6.49,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,11716130972.9011,3636373452689.0327,1781,0.00288226788799923,6.49,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,21466214223.791294,3636373452689.0327,3343,0.00576453577599846,6.49,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,39924253886.3805,3636373452689.0327,4987,0.01152907155199692,6.49,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Methanol,2.7,Formic acid,2679868465.2807093,4324442950212.4214,173,5.764535775998461e-4,9.79,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Methanol,2.7,Formic acid,13585991392.613533,4324442950212.4214,381,0.00288226788799923,9.79,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Methanol,2.7,Formic acid,25182202559.570107,4324442950212.4214,1599,0.00576453577599846,9.77,Cc1ccc2c(c1)[nH]nn2
200420,5-Methyl-1H-benzotriazole,C18-RP,Methanol,2.7,Formic acid,46473382816.387024,4324442950212.4214,2905,0.01152907155199692,9.77,Cc1ccc2c(c1)[nH]nn2
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,72374240.1299357,367335160836.45844,16,2.515872849461878e-4,18.38,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,412736418.52778554,367335160836.45844,69,0.0012579364247309387,18.38,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,902032710.385077,367335160836.45844,190,0.0025158728494618773,18.38,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,1800486717.4837282,367335160836.45844,356,0.005031745698923755,18.38,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,4019608613.4301257,367335160836.45844,829,0.012579364247309387,18.36,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,9604504069.118725,367335160836.45844,1776,0.025158728494618775,18.36,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Abietic acid,C18-RP,Acetonitrile,2.7,Formic acid,17560031087.770584,367335160836.45844,2662,0.05031745698923755,18.36,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
200420,Alachlor,C18-RP,Acetonitrile,2.7,Formic acid,2681740560.036815,9085801130978.256,218,2.9189562069384346e-4,13.77,CCc1cccc(CC)c1N(COC)C(=O)CCl
200420,Alachlor,C18-RP,Acetonitrile,2.7,Formic acid,13553223145.719427,9085801130978.256,1132,0.0014594781034692173,13.765,CCc1cccc(CC)c1N(COC)C(=O)CCl
200420,Alachlor,C18-RP,Acetonitrile,2.7,Formic acid,26569480630.19859,9085801130978.256,2312,0.0029189562069384346,13.765,CCc1cccc(CC)c1N(COC)C(=O)CCl
200420,Alachlor,C18-RP,Acetonitrile,2.7,Formic acid,50663210808.47421,9085801130978.256,4000,0.005837912413876869,13.765,CCc1cccc(CC)c1N(COC)C(=O)CCl
