standardized_inchikey,standardized_SMILES,RT
JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.84
MFYSYFVPBJMHGN-VLNSYWPESA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1C2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.41
UIKROCXWUNQSPJ-VIFPVBQESA-N,CN1C(=O)CC[C@H]1c1cccnc1,3.75
DEKWZWCFHUABHE-UHFFFAOYSA-N,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,10.2
BXNANOICGRISHX-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,11.19
ZWWRREXSUJTKNN-FUHWJXTLSA-N,CCCCCCC(C)(C)c1ccc([C@H]2CCC[C@@H](O)C2)c(O)c1,13.08
HNMJDLVMIUDJNH-PKOBYXMFSA-N,CCCCCCCC(C)(C)c1ccc([C@H]2CCC[C@@H](O)C2)c(O)c1,13.51
YNZFFALZMRAPHQ-VCOUNFBDSA-N,CCCCCCC(C)(C)c1ccc([C@H]2C[C@@H](O)CC[C@@H]2CCCO)c(O)c1,11.98
HJIUPFPIEBPYIE-UHFFFAOYSA-N,Cc1cc(N(C)C)nc(Cl)n1,6.2
WHPAGCJNPTUGGD-UHFFFAOYSA-N,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,10.74
XXXSILNSXNPGKG-ZHACJKMWSA-N,COP(=O)(OC)O/C(C)=C/C(=O)OC(C)c1ccccc1,9.39
BOFHKBLZOYVHSI-UHFFFAOYSA-N,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,10.51
SLFGIOIONGJGRT-UHFFFAOYSA-N,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,7.52
MZZBPDKVEFVLFF-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,6.55
LRNJHZNPJSPMGK-UHFFFAOYSA-N,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,10.88
SCKHCCSZFPSHGR-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(C#N)cc1,8.27
YXKMMRDKEKCERS-UHFFFAOYSA-N,Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,10.32
HCAJEUSONLESMK-UHFFFAOYSA-N,O=S(=O)(O)NC1CCCCC1,6.99
UVKZSORBKUEBAZ-UHFFFAOYSA-N,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.94
DFCAFRGABIXSDS-UHFFFAOYSA-N,CCSC(=O)N(CC)C1CCCCC1,11.65
JURKNVYFZMSNLP-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,7.95
YPHMISFOHDHNIV-IKPXDILTSA-N,CC1C[C@H](C)CC([C@H](O)CC2CC(=O)NC(=O)C2)C1=O,5.99
SKYSRIRYMSLOIN-UHFFFAOYSA-N,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,6.16
DHKKONBXGAAFTB-UHFFFAOYSA-N,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O,9.59
GOJRHLKLWMSXMB-UHFFFAOYSA-N,CCCC(=NOCC)C1C(=O)CC(C2CCCSC2)CC1=O,8.67
DQZCVNGCTZLGAQ-UHFFFAOYSA-N,CN(C)C(=O)NC1CCCCCCC1,8.47
QQODLKZGRKWIFG-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,13.01
ZXQYGBMAQZUVMI-YPUPMKEZSA-N,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)[C@H]1/C=C(/Cl)C(F)(F)F,12.99
XERJKGMBORTKEO-VZUCSPMQSA-N,CCNC(=O)NC(=O)/C(C#N)=N/OC,5.6
KAATUXNTWXVJKI-ZOVQDZKKSA-N,CC1(C)C(C(=O)O[C@@H](C#N)c2cccc(Oc3ccccc3)c2)[C@H]1C=C(Cl)Cl,13.31
OOHIAOSLOGDBCE-UHFFFAOYSA-N,CC(C)Nc1nc(Cl)nc(NC2CC2)n1,8.22
UFNOUKDBUJZYDE-UHFFFAOYSA-N,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,10.01
HAORKNGNJCEJBX-UHFFFAOYSA-N,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,11.04
JJCFRYNCJDLXIK-UHFFFAOYSA-N,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,7.89
LVQDKIWDGQRHTE-UHFFFAOYSA-N,Nc1nc(N)nc(NC2CC2)n1,2.78
BSBSDQUZDZXGFN-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(S(N)(=O)=O)cc1,6.19
NNYRZQHKCHEXSD-UHFFFAOYSA-N,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,9.68
QMLVECGLEOSESV-RYUDHWBXSA-N,CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,4.54
RFWZESUMWJKKRN-UHFFFAOYSA-N,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,5.66
MQJKPEGWNLWLTK-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.13
QAYICIQNSGETAS-UHFFFAOYSA-N,CN1CSC(=S)N(C)C1,3.97
NZHUXMZTSSZXSB-UHFFFAOYSA-N,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2O)cc1,6.41
JWPGJSVJDAJRLW-UHFFFAOYSA-N,N=C(N)N1CCc2ccccc2C1,4.39
JHAYEQICABJSTP-UHFFFAOYSA-N,CCCCCCCCCCOc1cc2c(=O)c(C(=O)OCC)c[nH]c2cc1OCC,13.43
CHSYXJNUOMUPOG-GRMWVWQJSA-N,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,9.35
GRPRVIYRYGLIJU-UHFFFAOYSA-N,CCOP(=O)(OCC)SCCSCC,8.91
PZIRJMYRYORVIT-UHFFFAOYSA-N,CCS(=O)(=O)CCSP(=O)(OC)OC,4.15
PMCVMORKVPSKHZ-UHFFFAOYSA-N,CC[S+]([O-])CCSP(=O)(OC)OC,3.98
GGRWZBVSUZZMKS-UHFFFAOYSA-N,O=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,7.14
FPTOUQZVCUIPHY-UHFFFAOYSA-N,CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,11.64
UVCOILFBWYKHHB-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,8.74
XFICNUNWUREFDP-UHFFFAOYSA-N,CC(CCCNCCO)Nc1ccnc2cc(Cl)ccc12,3.88
HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21,8.08
JAUOIFJMECXRGI-UHFFFAOYSA-N,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,7.48
WZJZMXBKUWKXTQ-UHFFFAOYSA-N,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,8.57
LNLMGKOHYYEWMY-UHFFFAOYSA-N,N=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,8.27
FGLAMNFOHWVQOH-UHFFFAOYSA-N,c1ccc2c(c1)Cc1cccnc1N1CCNCC21,5.285
HCRWJJJUKUVORR-UHFFFAOYSA-N,CNc1nc(NC(C)C)nc(SC)n1,8.17
WPQKMAWYKDSBAX-ALPGBOSFSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(C(=O)COC(=O)CCc3ccccc3)CC[C@@H]12,13
RWTNXJXZVGHMGI-UHFFFAOYSA-N,c1ccc(C(c2ccccc2)C2CCCCN2)cc1,6.3
LSSUMOWDTKZHHT-UHFFFAOYSA-N,CCN(CC)CCc1c[nH]c2ccccc12,4.34
IXLGLCQSNUMEGQ-ZUHKXVRJSA-N,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@H]2[C@H]5O)[N+]3(CC(O)CN(CC)CC)[C@@H]1O,4.62
GJFCONYVAUNLKB-CXSFZGCWSA-N,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,8.38
MKXZASYAUGDDCJ-NJAFHUGGSA-N,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,6.51
XLMALTXPSGQGBX-GCJKJVERSA-N,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,7.73
WOWBFOBYOAGEEA-UHFFFAOYSA-N,CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,12.94
MUMQYXACQUZOFP-UHFFFAOYSA-N,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,11.53
SPANOECCGNXGNR-WEVVVXLNSA-N,CC(C)N(C(=O)SC/C(Cl)=C\Cl)C(C)C,11.81
LDBTVAXGKYIFHO-UHFFFAOYSA-N,COc1ccc(Cc2cnc(N)nc2N)cc1OC,3.88
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,9.53
FHIVAFMUCKRCQO-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,11.04
VBLJFQYCTRKKKF-UHFFFAOYSA-N,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,8.65
QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,5.49
UJAHPBDUQZFDLA-UHFFFAOYSA-N,CCCCOC(=O)C1C(C(=O)OCCCC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,14.02
USEBIPUIVPERGC-UHFFFAOYSA-N,CCC(C(=O)c1ccc2c(c1)OCO2)N(C)C,4.38
IWEDIXLBFLAXBO-UHFFFAOYSA-N,COc1c(Cl)ccc(Cl)c1C(=O)O,4.97
AWSBKDYHGOOSML-UHFFFAOYSA-N,COC(=O)c1c(Cl)ccc(Cl)c1OC,9.64
BPONQGMIWQSRGH-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(N(O)O)cc1Cl,10.5
WGOWCPGHOCIHBW-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,12.55
WURGXGVFSMYFCG-UHFFFAOYSA-N,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,10.02
YRMLFORXOOIJDR-UHFFFAOYSA-N,C=CCN(CC=C)C(=O)C(Cl)Cl,7.18
KZKYRHRAVGWEAV-UHFFFAOYSA-N,NC(=O)c1cccc(Cl)c1Cl,4.48
SCHCPDWDIOTCMJ-UHFFFAOYSA-N,COC(=O)C(C)Oc1ccc(Cl)cc1Cl,10.53
OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,7
URDNHJIVMYZFRT-ZIAGYGMSSA-N,CC(C)(C)[C@H](O)[C@@H](Cc1ccc(Cl)cc1Cl)n1cncn1,10.71
DCOPUUMXTXDBNB-UHFFFAOYSA-N,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,10.18
BACHBFVBHLGWSL-UHFFFAOYSA-N,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,12.29
BIXZHMJUSMUDOQ-UHFFFAOYSA-N,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,8.84
VEENJGZXVHKXNB-VOTSOKGWSA-N,COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,4.5
CURUTKGFNZGFSE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,9.99
WUQMVSOZWZOUJR-SEBOWIOWSA-N,C[C@]12CC=C3C4=C(CCC3[C@@H]1CC[C@@]2(O)CC#N)CC(=O)CC4,8.09
LURMIKVZJSMXQE-UHFFFAOYSA-N,CCN(CC)CCN1c2ccccc2Sc2ccccc21,7.76
LNJNFVJKDJYTEU-UHFFFAOYSA-N,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,9.04
RCKMWOKWVGPNJF-UHFFFAOYSA-N,CCN(CC)C(=O)N1CCN(C)CC1,3.16
BQYJATMQXGBDHF-UHFFFAOYSA-N,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,11.59
AMVYOVYGIJXTQB-UHFFFAOYSA-N,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,8.43
LBGPXIPGGRQBJW-UHFFFAOYSA-N,Cn1c(-c2ccccc2)cc(-c2ccccc2)[n+]1C,5.21
NOCJXYPHIIZEHN-UHFFFAOYSA-N,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,4.96
QQQYTWIFVNKMRW-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,10.58
WYEHFWKAOXOVJD-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,11.72
IRJQWZWMQCVOLA-UHFFFAOYSA-N,CC(=NNC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,6.22
RBOXVHNMENFORY-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,3.36
DEQITUUQPICUMR-LMLVIHHFSA-N,CC(C)[C@@]1(NC(=O)C2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,8.17
IJVCSMSMFSCRME-KBQPJGBKSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,2.66
FWCBATIDXGJRMF-FLNNQWSLSA-N,CC1(C)OC[C@@H]2O[C@@]3(C(=O)O)OC(C)(C)O[C@H]3[C@@H]2O1,4.76
HSUGRBWQSSZJOP-LBAQZLPGSA-N,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,7.18
DHWRNDJOGMTCPB-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,8.76
SCCDDNKJYDZXMM-UHFFFAOYSA-N,COCCN(C(=O)CCl)c1c(C)cccc1C,8.58
JLYFCTQDENRSOL-UHFFFAOYSA-N,COCC(C)N(C(=O)CCl)c1c(C)csc1C,9.26
CJHXCRMKMMBYJQ-UHFFFAOYSA-N,CCCCc1c(C)[nH]c(N(C)C)nc1=O,7.7
MCWXGJITAZMZEV-UHFFFAOYSA-N,CNC(=O)CSP(=S)(OC)OC,5.23
OWQIUQKMMPDHQQ-UHFFFAOYSA-N,CCN(CC)CC(C)(C)COC(=O)c1ccc(N)cc1,4.24
QNBTYORWCCMPQP-NBVRZTHBSA-N,COc1ccc(/C(=C/C(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,9.22
JLTDJTHDQAWBAV-UHFFFAOYSA-N,CN(C)c1ccccc1,6.26
KBHMHROOFHVLBA-UHFFFAOYSA-N,CC(C(=O)c1ccccc1)N(C)C,3.64
NIQCNGHVCWTJSM-UHFFFAOYSA-N,COC(=O)c1ccccc1C(=O)OC,6.63
QSGNQELHULIMSJ-UXBLZVDNSA-N,COP(=O)(OC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,9.86
MVMQESMQSYOVGV-UHFFFAOYSA-N,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,6.86
VWNWVCJGUMZDIU-UHFFFAOYSA-N,CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C,7.01
WDXMTFXUGTUTOV-UHFFFAOYSA-N,Cc1ncc(N(O)O)n1C,4.27
WXUZAHCNPWONDH-DYTRJAOYSA-N,CNC(=O)/C(=N/OC)c1ccccc1COc1cc(C)ccc1C,10.66
FBOUIAKEJMZPQG-AWNIVKPZSA-N,CC(C)(C)C(O)/C(=C\c1ccc(Cl)cc1Cl)n1cncn1,11.51
UHLAYFQCHVOCGZ-XBXARRHUSA-N,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc(N(O)O)cc1N(O)O,13.08
YKBZOVFACRVRJN-UHFFFAOYSA-N,CN=C(NCC1CCOC1)N[N+](=O)[O-],3.59
SDKQRNRRDYRQKY-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1C1OCCO1,5.16
VBKKVDGJXVOLNE-UHFFFAOYSA-N,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,12.11
OHDICGSRVLBVLC-UHFFFAOYSA-N,CCNC(C)C(O)c1ccc(O)c(O)c1,1.99
JYGLAHSAISAEAL-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,8.6
QAHFOPIILNICLA-UHFFFAOYSA-N,CN(C)C(=O)C(c1ccccc1)c1ccccc1,8.57
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1,6.63
HYPPXZBJBPSRLK-UHFFFAOYSA-N,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,10.43
OWQUZNMMYNAXSL-UHFFFAOYSA-N,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,7.23
GDMZQNKKYVYOBJ-UHFFFAOYSA-N,CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1,9.2
KSCFJBIXMNOVSH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,3.76
ZRVAAGAZUWXRIP-UHFFFAOYSA-N,CC(C)N(CCc1c[nH]c2ccccc12)C(C)C,4.87
IZEKFCXSFNUWAM-UHFFFAOYSA-N,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,9.36
SYJFEGQWDCRVNX-UHFFFAOYSA-N,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,1.23
UVTNFZQICZKOEM-UHFFFAOYSA-N,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.74
DOFZAZXDOSGAJZ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCSCC,11.52
BKVJOVPVLOJPKJ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCS(=O)(=O)CC,8.02
UPUGLJYNCXXUQV-UHFFFAOYSA-N,CCOP(=S)(OCC)SCC[S+]([O-])CC,7.86
MTBZIGHNGSTDJV-UHFFFAOYSA-N,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,10.18
YUBJPYNSGLJZPQ-UHFFFAOYSA-N,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,11.74
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,8.64
MSYUMPGNGDNTIQ-HXUWFJFHSA-N,C[C@H](CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21,9.08
ANOUKFYBOAKOIR-UHFFFAOYSA-N,COc1ccc(CCN)cc1OC,3.53
DMULVCHRPCFFGV-UHFFFAOYSA-N,CN(C)CCc1c[nH]c2ccccc12,3.94
ASNUCPWUXOAQAZ-UHFFFAOYSA-N,Cc1cc(N(O)O)cc(N(O)O)c1O,6.98
FXMWUTGUCAKGQL-UHFFFAOYSA-N,COc1cc(CC(C)N)c(OC)cc1Br,5.93
JRWZLRBJNMZMFE-UHFFFAOYSA-N,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,4.21
ACRITBNCBMTINK-UHFFFAOYSA-N,COc1cc(CC(C)N)c(OC)cc1Cl,5.67
JMXKCYUTURMERF-UHFFFAOYSA-N,CC1CN(C2CCCCCCCCCCC2)CC(C)O1,9.11
HXJKWPGVENNMCC-UHFFFAOYSA-N,CCc1cc(OC)c(CC(C)N)cc1OC,6.88
NTJQREUGJKIARY-UHFFFAOYSA-N,COc1cc(CC(C)N)c(OC)cc1C,5.83
ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,5.81
IAVUPMFITXYVAF-XPUUQOCRSA-N,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,3.19
PHTUQLWOUWZIMZ-BOPFTXTBSA-N,CN(C)CC/C=C1/c2ccccc2CSc2ccccc21,7.61
XFDJYSQDBULQSI-UHFFFAOYSA-N,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,6.23
ODQWQRRAPPTVAG-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2COc2ccccc21,7.01
HCFDWZZGGLSKEP-UHFFFAOYSA-N,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,5.18
BOOQTIHIKDDPRW-UHFFFAOYSA-N,CCCN(CCC)CCc1c[nH]c2ccccc12,5.26
ZRGHYHHYHYAJBT-UHFFFAOYSA-N,Cc1[nH]oc(=O)c1N=Nc1ccccc1Cl,10.34
AGJBLWCLQCKRJP-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,9.19
RMEDXOLNCUSCGS-UHFFFAOYSA-N,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,6.16
PTVWPYVOOKLBCG-UHFFFAOYSA-N,OCC(O)CN1CCN(c2ccccc2)CC1,3.79
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,8.11
MJJALKDDGIKVBE-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,10.88
QIQNNBXHAYSQRY-KRBWIIOGSA-N,COC(=O)C1[C@H]2CC[C@@H](C[C@@H]1O)N2C,1.38
AJRJPORIQGYFMT-PVOVUMCXSA-N,C/C=C1\N(C)C(C)CC1(c1ccccc1)c1ccccc1,6.38
AWZOLILCOUMRDG-UHFFFAOYSA-N,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,10.8
CXEGAUYXQAKHKJ-LKMRTRKKSA-N,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](NC)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=CC(C(=O)O1)[C@]34O)O2,12.4
DXIOOXFZLKCVHK-LAVBQPAMSA-N,CN[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)C4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)C[C@@H]1OC,12.01
LMBMDLOSPKIWAP-UHFFFAOYSA-N,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,8.98
GBXSMTUPTTWBMN-UHFFFAOYSA-N,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,6.83
RDYMFSUJUZBWLH-UHFFFAOYSA-N,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,11.21
GXEKYRXVRROBEV-UHFFFAOYSA-N,O=C(O)C1C2CCC(O2)C1C(=O)O,3.2
ZJKNESGOIKRXQY-UHFFFAOYSA-N,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,6.67
SPFYMRJSYKOXGV-UHFFFAOYSA-N,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,4.64
MOXHFKNRLXKAFP-UHFFFAOYSA-N,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c(N(O)O)c1,6.89
KWGRBVOPPLSCSI-WPRPVWTQSA-N,CN[C@@H](C)[C@H](O)c1ccccc1,3.76
YKOUBOUXUXHRLY-HXUWFJFHSA-N,CCO[P@@](=S)(Oc1ccc(N(O)O)cc1)c1ccccc1,11.7
ZMYFCFLJBGAQRS-IAGOWNOFSA-N,Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,10.26
OLWGWPVIWQZCDJ-UHFFFAOYSA-N,CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,7.49
GUVLYNGULCJVDO-UHFFFAOYSA-N,CCCN(CCC)C(=O)SCC,10.67
XCGSFFUVFURLIX-QOEFELPASA-N,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,7.66
ULGZDMOVFRHVEP-ZWLFKSPASA-N,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,8
XHCADAYNFIFUHF-TVKJYDDYSA-N,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,3.69
AQNDDEOPVVGCPG-UHFFFAOYSA-N,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,5.18
SUBDBMMJDZJVOS-XMMPIXPASA-N,COc1ccc2[nH]c([S@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,7.81
BXEHUCNTIZGSOJ-UHFFFAOYSA-N,CCN(C(=O)SCc1ccccc1)C(C)C(C)C,12.23
CDCHDCWJMGXXRH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,8.14
DWRKFAJEBUWTQM-UHFFFAOYSA-N,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,10.17
AEUTYOVWOVBAKS-UWVGGRQHSA-N,CC[C@@H](CO)NCCN[C@@H](CC)CO,1.93
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,CCOc1ccccc1C(N)=O,5.68
HEZNVIYQEUHLNI-UHFFFAOYSA-N,CCSCc1ccccc1OC(=O)NC,7.7
IOPTXXRNXCPJGO-UHFFFAOYSA-N,CCS(=O)(=O)Cc1ccccc1OC(=O)NC,4.63
OMOLDRXZKFFGJI-UHFFFAOYSA-N,CC[S+]([O-])Cc1ccccc1OC(=O)NC,4.7
RIZMRRKBZQXFOY-UHFFFAOYSA-N,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,12.45
