standardized_inchikey,standardized_SMILES,RT
LTCDLGUFORGHGY-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,5.41
OYOUQHVDCKOOAL-UHFFFAOYSA-N,Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,4.78
DAWYIZBOUQIVNX-UHFFFAOYSA-N,CN1CCN2c3ncc(O)cc3Cc3ccccc3C2C1,4.54
GOEMGAFJFRBGGG-UHFFFAOYSA-N,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,4.78
WRJPSSPFHGNBMG-UHFFFAOYSA-N,CC(=O)OC1CN2CCC1CC2,4.87
FSQKKOOTNAMONP-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,9.9
NOSIYYJFMPDDSA-UHFFFAOYSA-N,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,7.47
XLOQNFNTQIRSOX-UHFFFAOYSA-N,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,7.26
MGKXMHCLVFIHMV-UHFFFAOYSA-N,CC(=O)Nc1ccc(-c2ccc(C=Nn3cc(O)[nH]c3=O)o2)cc1,5.67
WCXDHFDTOYPNIE-RIYZIHGNSA-N,C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,5.17
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,3.43
ISIPQAHMLLFSFR-XNTDXEJSSA-N,CC(=O)OCC/C(SC(C)=O)=C(/C)N(C=O)Cc1cnc(C)nc1N,4.46
VTNQPKFIQCLBDU-UHFFFAOYSA-N,CCOCN(C(=O)CCl)c1c(C)cccc1CC,10.23
UELITFHSCLAHKR-UHFFFAOYSA-N,CSC(=O)c1cccc2nnsc12,9.65
MKUXAQIIEYXACX-UHFFFAOYSA-N,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,2.34
DDBMQDADIHOWIC-UHFFFAOYSA-N,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,10.86
XFSBVAOIAHNAPC-XTHSEXKGSA-N,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@]34C1[C@H]([C@H](OC)[C@H]23)[C@]1(OC(C)=O)[C@H]2[C@@H](OC(=O)c3ccccc3)[C@](O)(C[C@H]24)[C@@H](OC)[C@@H]1O,7.09
PWACSDKDOHSSQD-IUTFFREVSA-N,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,6.66
YAMVZYRZAMBCED-UHFFFAOYSA-N,CCOc1ccc(S(=O)(=O)O)c2cccnc12,3.56
GFFGJBXGBJISGV-UHFFFAOYSA-N,Nc1ncnc2[nH]cnc12,2.43
OIRDTQYFTABQOQ-KQYNXXCUSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.14
YJYPHIXNFHFHND-UHFFFAOYSA-N,COc1ccc2cccc(CCNC(C)=O)c2c1,8.68
CJDRUOGAGYHKKD-SXKXKDIKSA-N,CC[C@@H]1[C@@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@H]1C3[C@H]5O,5.19
XCSGPAVHZFQHGE-UHFFFAOYSA-N,CCc1cccc(CC)c1N(COC)C(=O)CCl,10.33
GMAUQNJOSOMMHI-JXAWBTAJSA-N,CCOC(=O)CCN(Cc1ccccc1)SN(C)C(=O)O/N=C(/C)SC,10.76
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,9.19
CLSJYOLYMZNKJB-UHFFFAOYSA-N,CCCS(=O)(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1,5.86
QGLZXHRNAYXIBU-WEVVVXLNSA-N,CNC(=O)O/N=C/C(C)(C)SC,6.17
YRRKLBAKDXSTNC-UHFFFAOYSA-N,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,3.75
BXPMAGSOWXBZHS-WEVVVXLNSA-N,CNC(=O)O/N=C/C(C)(C)[S+](C)[O-],3.5
IDBPHNDTYPBSNI-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,7.69
ZZHLYYDVIOPZBE-UHFFFAOYSA-N,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,8.1
IVBOUFAWPCPFTQ-UHFFFAOYSA-N,CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,6.09
KSEYRUGYKHXGFW-UHFFFAOYSA-N,C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC,3.62
ZCVAOQKBXKSDMS-UHFFFAOYSA-N,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,12.235
MDBGGTQNNUOQRC-UHFFFAOYSA-N,C=CCN(CC=C)C(=O)CCl,6.37
AODPIQQILQLWGS-FDSHTENPSA-N,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,8.88
ZXUMUPVQYAFTLF-UHFFFAOYSA-N,CCC(N)Cc1c[nH]c2ccccc12,5.04
ZURUZYHEEMDQBU-UHFFFAOYSA-N,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,8.11
NGTVDHYUFBKWID-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1,6.09
KPUJAQRFIJAORQ-UHFFFAOYSA-N,CC(C(=O)c1ccccc1)N1CCCC1,4.01
YDIIDRWHPFMLGR-UHFFFAOYSA-N,CCCC(C(=O)c1ccccc1)N1CCCC1,5.08
VREFGVBLTWBCJP-UHFFFAOYSA-N,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,8.36
PAZJSJFMUHDSTF-UHFFFAOYSA-N,C=CCc1ccccc1OCC(O)CNC(C)C,6.71
VEXNFKCQMGMBBJ-UHFFFAOYSA-N,CCC(CN(C)C)(CN(C)C)OC(=O)c1ccccc1,6.07
URKVBEKZCMUTQC-UHFFFAOYSA-N,CN1CCCCC1Cn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,8.09
ZDCZZWAEXISRJF-UHFFFAOYSA-N,CN1CCCCC(n2cc(C(=O)c3cccc4ccccc34)c3ccccc32)C1,8.61
ALQFAGFPQCBPED-UHFFFAOYSA-N,O=C(c1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,11.23
DKNWSYNQZKUICI-UHFFFAOYSA-N,NC12CC3CC(CC(C3)C1)C2,4.86
RQVYBGPQFYCBGX-UHFFFAOYSA-N,CCNc1nc(NC(C)C)nc(SC)n1,9.16
XXEPPPIWZFICOJ-UHFFFAOYSA-N,CCN(CC)C(C)C(=O)c1ccccc1,4.11
ZHOWHMXTJFZXRB-UHFFFAOYSA-N,CNCC(O)c1cccc(NS(C)(=O)=O)c1,2.54
CTTHWASMBLQOFR-UHFFFAOYSA-N,COc1cc(OC)nc(NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1,6.77
XSDQTOBWRPYKKA-UHFFFAOYSA-N,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,3.68
IMIDOCRTMDIQIJ-UHFFFAOYSA-N,CNC(=O)Oc1ccc(N(C)C)c(C)c1,5.15
ROBVIMPUHSLWNV-UHFFFAOYSA-N,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,4.99
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,5.21
YZQNFFLGIYEXMM-UHFFFAOYSA-N,CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,8.54
SYAKTDIEAPMBAL-UHFFFAOYSA-N,N=C1NCC(c2ccccc2)O1,3.67
NTJOBXMMWNYJFB-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,3.955
